"poll_codi","contaminant","data","Concentration","dt_h"
28,"CO",2019-01-05 04:00:00,300,18020
28,"CO",2019-01-05 05:00:00,300,18021
28,"CO",2019-01-05 06:00:00,300,18022
28,"CO",2019-01-05 07:00:00,300,18023
28,"CO",2019-01-05 08:00:00,300,18024
28,"CO",2019-01-05 09:00:00,300,18025
28,"CO",2019-01-05 10:00:00,300,18026
28,"CO",2019-01-05 11:00:00,300,18027
28,"CO",2019-01-05 12:00:00,300,18028
28,"CO",2019-01-05 13:00:00,400,18029
28,"CO",2019-01-05 14:00:00,300,18030
28,"CO",2019-01-05 15:00:00,300,18031
28,"CO",2019-01-05 16:00:00,300,18032
28,"CO",2019-01-05 17:00:00,300,18033
28,"CO",2019-01-05 18:00:00,400,18034
